  0.000000000000000000E+00  0.881961089240764827E+08  0.892610803305266131E+03 -0.979648297301917523E+02  0.000000000000000000E+00  0.000000000000000000E+00
  0.100000000000000002E-01  0.881961089240764827E+08  0.892610803305266131E+03 -0.979648297301917523E+02  0.000000000000000000E+00  0.000000000000000000E+00
  0.200000000000000004E-01  0.864593513524922729E+08  0.680681240375301513E+03  0.507417934586935246E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.299999999999999989E-01  0.847569298308219761E+08  0.607151926149217957E+03  0.697979977654782829E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.400000000000000008E-01  0.830872962040578276E+08  0.568252567620698187E+03  0.785027174916972626E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.499999999999999958E-01  0.814496606032688022E+08  0.543228812844267168E+03  0.830817647319290586E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.599999999999999978E-01  0.798433686275756955E+08  0.525162302861494709E+03  0.856101604558805661E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.700000000000000067E-01  0.782678122035019398E+08  0.511087821949588772E+03  0.869769893379878454E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.800000000000000017E-01  0.767224071569870263E+08  0.499522585160534675E+03  0.876266134012380803E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.899999999999999967E-01  0.752065856130436361E+08  0.489642667480577813E+03  0.878057431762537817E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.999999999999999917E-01  0.737197928460075110E+08  0.480953575476002470E+03  0.876622661158329493E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.110000000000000001E+00  0.722614857502325326E+08  0.473140507115923128E+03  0.872901685577108424E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.119999999999999996E+00  0.708311319878122211E+08  0.465993481668988920E+03  0.867519966664532262E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.130000000000000004E+00  0.694282094504401833E+08  0.459367025018963886E+03  0.860909507509739228E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.140000000000000013E+00  0.680522058798546344E+08  0.453157132689879006E+03  0.853377962704484503E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.149999999999999994E+00  0.667026185742468238E+08  0.447287447649744536E+03  0.845150104079086191E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.160000000000000003E+00  0.653789541442989409E+08  0.441700621427319959E+03  0.836393736511510383E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.169999999999999984E+00  0.640807282995880172E+08  0.436352724236668109E+03  0.827236466725228070E+03  0.000000000000000000E+00  0.000000000000000000E+00
  0.179999999999999993E+00  0.628074656546359733E+08  0.431209518384347064E+03  0.817776882251113420E+03  0.000000000000000000E+00  0.000000000000000000E+00
